Country,Sex,Year,h,v,G,eo
Italy,Females,1976,1.8455114288318506,1.5308291308289521,0.10311600803800292,76.27
Italy,Females,1977,1.8711066431227599,1.5570550094486413,0.10052775772815448,76.73
Italy,Females,1978,1.8747061473141933,1.5695306911385587,0.0995715694061722,77.13
Italy,Females,1979,1.885410669612508,1.5873839415726256,0.09806583060299448,77.48
Italy,Females,1980,1.8919354649562736,1.5931651188109623,0.09765093422831748,77.42
Italy,Females,1981,1.9040746111047278,1.611430633885278,0.0959064919600897,77.75
Italy,Females,1982,1.9102277875508047,1.6266725969606646,0.09484915116499058,78.18
Italy,Females,1983,1.9294282861517866,1.6423403295435652,0.09320713767708577,77.99
Italy,Females,1984,1.9283703422832712,1.6609888461699658,0.09233386278796302,78.77
Italy,Females,1985,1.9438337443987985,1.6755926817085038,0.09104567228895986,78.83
Italy,Females,1986,1.9476077304671595,1.6847550794274502,0.09048846047752193,79.12
Italy,Females,1987,1.945639908967261,1.6828016552815583,0.09061184756269455,79.56
Italy,Females,1988,1.9594225110192176,1.6952702539300664,0.08954760410536877,79.72
Italy,Females,1989,1.962873617670965,1.7056016020789946,0.08889459932574051,80.15
Italy,Females,1990,1.9779936365576174,1.718587508629886,0.08771769652665247,80.25
Italy,Females,1991,1.9749164581073773,1.7078955045308335,0.08835329999432624,80.3
Italy,Females,1992,1.9762470056114108,1.7133652467068576,0.0879535541401214,80.66
Italy,Females,1993,1.9807300730640918,1.7220351258099629,0.087381188500364193,80.83
Italy,Females,1994,1.9939637783219286,1.7386332605224177,0.08626774149690868,81.07
Italy,Females,1995,1.997480240913502,1.7466963770354629,0.08581755910212321,81.33
Italy,Females,1996,1.9921685891369465,1.739278860448007,0.08621573763389961,81.54
Italy,Females,1997,2.018196490587577,1.7677124561319109,0.08388025064680335,81.78
Italy,Females,1998,2.0255515626134177,1.780106513625896,0.0831264019421645,81.82
Italy,Females,1999,2.0394202299337616,1.800079050518286,0.08150817302727305,82.19
Italy,Females,2000,2.0430001785248106,1.8061159929932242,0.081152799726271,82.5
Italy,Females,2001,2.048749856368131,1.8124468607723836,0.08071202133852054,82.79
Italy,Females,2002,2.0592189124825153,1.8234591274699032,0.07983792104871164,82.96
Italy,Females,2003,2.0861950031807335,1.8512042388126821,0.07775920183120535,82.87
Italy,Females,2004,2.0724455919611136,1.8521262133144367,0.07797316640613619,83.76
Italy,Females,2005,2.0987582660450688,1.8715640677736132,0.07633551013371027,83.67
Italy,Females,2006,2.098155477592237,1.879152901058093,0.07593745673553892,84.05
Italy,Females,2007,2.1078888628147765,1.8832676208500185,0.0754331590440621,84.04
Italy,Females,2008,2.119625706872663,1.8932126763519472,0.07458238945190819,84.14
Italy,Females,2009,2.117785563207435,1.8887500630432648,0.07482510490822487,84.18
Italy,Females,2010,2.1299695412975135,1.9050474906788173,0.07370413543209733,84.52
Italy,Females,2011,2.130980452476582,1.9059566604373888,0.07372009566839696,84.55
Italy,Females,2012,2.1429625545848303,1.9140588739851476,0.07304905498359854,84.51
Italy,Females,2013,2.141944404685426,1.923764431868077,0.07275292360960461,84.91
Italy,Females,2014,2.1424362746099543,1.9272226371858725,0.07252510537122414,85.11
Italy,Females,2015,2.157340559115727,1.9299166817784756,0.07201356558131325,84.65
Italy,Females,2016,2.150336885127091,1.9270829989568954,0.0722482183298666,85.18
Italy,Females,2017,2.1563706006999936,1.924240174047739,0.07217157937250106,84.86
Italy,Females,2018,2.160143078967514,1.932991957041908,0.07168683564845905,85.28
Italy,Females,2019,2.1686301907976797,1.9507614584893165,0.07083087297424097,85.41
Italy,Females,2020,2.1722158374832214,1.9504580801808256,0.07096652972110362,84.47
Italy,Males,1872,0.0286858896517935,-0.05014511247553943,0.57323785214805,29.28
Italy,Males,1873,0.10826454348413568,0.02107711369244075,0.5414834807744499,31.49
Italy,Males,1874,0.11852171504522377,0.030120917626124497,0.5373609107420598,31.62
Italy,Males,1875,0.08147002969063978,0.009137982210295492,0.546990913651751,31.13
Italy,Males,1876,0.14649829913589793,0.056552298330343094,0.525850807139698,33.36
Italy,Males,1877,0.19836563433988064,0.09590825947599076,0.5077027516841496,34.75
Italy,Males,1878,0.1888455395597496,0.09028661241502377,0.5104023356637386,34.21
Italy,Males,1879,0.18647752050484473,0.08299180446714553,0.5136485482565586,33.86
Italy,Males,1880,0.15635549137705215,0.06026778971363293,0.5241643949832718,32.46
Italy,Males,1881,0.1668849719898807,0.06443795006544394,0.5215044194927196,34.08
Italy,Males,1882,0.16422583247571307,0.05682794342554983,0.5244208021999254,34.12
Italy,Males,1883,0.1543366169412809,0.08846361122692932,0.5097467050298587,35.25
Italy,Males,1884,0.16570212011117924,0.1297986564993253,0.491835850825458,36.69
Italy,Males,1885,0.2651119667970367,0.13070986632573042,0.49079267184494646,37.05
Italy,Males,1886,0.2216053253308803,0.09926185223448532,0.5056948303207724,35.28
Italy,Males,1887,0.24503573603255263,0.11447402203873873,0.49848494319068165,36.12
Italy,Males,1888,0.2803015429259878,0.14015808472811891,0.486587632134669,36.98
Italy,Males,1889,0.34113780403399135,0.18718541083389906,0.4650884765181195,39.15
Italy,Males,1890,0.33599174564923856,0.18348597193883634,0.46715938292080267,38.56
Italy,Males,1891,0.3311012812115499,0.17739968684014407,0.46910089155926876,38.56
Italy,Males,1892,0.3503069804892043,0.20137863083741087,0.45874019870099025,38.92
Italy,Males,1893,0.37113934943797433,0.21727766638052487,0.4517150272034166,39.76
Italy,Males,1894,0.3701429409359435,0.21924105359908272,0.4509038581307117,39.92
Italy,Males,1895,0.35411072252451287,0.20503782518619837,0.4573163069457303,39.46
Italy,Males,1896,0.3851652966283192,0.23226270228206108,0.4456196055078168,40.52
Italy,Males,1897,0.4646694735899057,0.28975955074424076,0.4202598551101699,43.29
Italy,Males,1898,0.4466422534975652,0.2731888373749394,0.4274644620215303,42.18
Italy,Males,1899,0.4776433358164367,0.31343751065753406,0.41026837877320343,43.61
Italy,Males,1900,0.43298902335853195,0.27312252561862915,0.4270908798154853,41.75
Italy,Males,1901,0.5052662533599944,0.31190731216436857,0.41088280112619213,43.4
Italy,Males,1902,0.4757778249234747,0.2836082622819893,0.4222816040649171,42.85
Italy,Males,1903,0.4829722834091296,0.30158991254425255,0.415068029038116,42.95
Italy,Males,1904,0.5079805008061259,0.32223387123234865,0.4064213815311113,44.2
Italy,Males,1905,0.5109771195215117,0.3198683505790438,0.4072004863953091,43.75
Italy,Males,1906,0.5294968961119625,0.3343836266594286,0.40046979592030435,44.82
Italy,Males,1907,0.5547125612763827,0.3568597588899141,0.39147910280373444,45.23
Italy,Males,1908,0.4800229996782633,0.30073101350611003,0.41563600531802786,42.75
Italy,Males,1909,0.5326302648707962,0.3413987173117814,0.3984287946163535,44.25
Italy,Males,1910,0.5880960519522116,0.38203156557405993,0.38105843158072045,46.32
Italy,Males,1911,0.5462982687401536,0.3472339699535403,0.39561148562983456,44.61
Italy,Males,1912,0.6518443869915111,0.43001369849163107,0.3611774067695706,48.39
Italy,Males,1913,0.6425018028535974,0.4228531009912375,0.36357850900973465,48.12
Italy,Males,1914,0.6936025871891325,0.46579883023625707,0.34714552806824817,49.41
Italy,Males,1915,0.365446371062775,0.24693026816641164,0.44452971100856126,38.68
Italy,Males,1916,0.23221355176488526,0.16055177834052012,0.4777164695689376,34.01
Italy,Males,1917,0.18923049515026005,0.14735560969282083,0.47442213449733994,30.98
Italy,Males,1918,-0.013750241351862438,-0.012814953001067745,0.5470814108281722,23.52
Italy,Males,1919,0.3728870369002196,0.2620790986871942,0.4397243263051916,38.62
Italy,Males,1920,0.5518251154251603,0.36409496960896953,0.3912222136041795,45.29
Italy,Males,1921,0.6563826596748488,0.4289538609658677,0.36152652087366427,48.42
Italy,Males,1922,0.7174718854698047,0.47656790363368856,0.34310953189995474,49.44
Italy,Males,1923,0.7465192909506693,0.5003020397758292,0.33375664892728135,50.9
Italy,Males,1924,0.7532296328414254,0.5145155951806007,0.3296944893662293,50.78
Italy,Males,1925,0.7455145543661453,0.5048622333759952,0.333309702212297,50.35
Italy,Males,1926,0.7352591177717015,0.49120240387623926,0.33730521098605293,50.15
Italy,Males,1927,0.7875917796677124,0.5314500902103623,0.3223015231931866,51.78
Italy,Males,1928,0.796013814028988,0.5358712504708962,0.3203801388451225,51.77
Italy,Males,1929,0.7930403074613804,0.5329250912944913,0.32145089185807185,51.25
Italy,Males,1930,0.8512717998235123,0.5896422657616355,0.30168523474416364,54.09
Italy,Males,1931,0.8679580172395636,0.5988985898206431,0.2984033220022574,53.74
Italy,Males,1932,0.8591549306671973,0.5955337605903873,0.29981574537931704,53.53
Italy,Males,1933,0.9072515016404342,0.6360058894348567,0.2864405822573733,55.05
Italy,Males,1934,0.9199870472620698,0.6464340131617774,0.28257232618348976,55.64
Italy,Males,1935,0.9103632210241218,0.6347386998463737,0.2865174175526136,54.89
Italy,Males,1936,0.9282233990993888,0.6525341751463544,0.2806083044700872,55.3
Italy,Males,1937,0.8760359076292463,0.6040638283658046,0.2962054849477368,53.99
Italy,Males,1938,0.9099699181443114,0.6260637642738919,0.2881383671244319,54.75
Italy,Males,1939,0.9655468991190894,0.675010486759543,0.272288509459447,56.17
Italy,Males,1940,0.9307854961929962,0.6492786170318436,0.28232554225264767,54.89
Italy,Males,1941,0.7951554097040464,0.5622974024400105,0.3169414265985817,51.42
Italy,Males,1942,0.6774101964131352,0.48552596687502797,0.3480572282149212,47.84
Italy,Males,1943,0.5475739341821254,0.414714674876482,0.3786657430501672,43.6
Italy,Males,1944,0.6971940803845256,0.517818834408027,0.33845716008039317,48.03
Italy,Males,1945,0.7724224862124165,0.5576780210580966,0.32080295682350607,51.24
Italy,Males,1946,0.9764336974525778,0.6840771064649086,0.2695529979449718,57.31
Italy,Males,1947,1.0729263350767424,0.7699463740886798,0.2442539641874628,59.43
Italy,Males,1948,1.1732178310027843,0.8584197628012402,0.2197149775875447,61.87
Italy,Males,1949,1.216143604333681,0.8874813733683786,0.21095038288986492,62.62
Italy,Males,1950,1.2725158469059357,0.944235990645545,0.19810099661612796,63.94
Italy,Males,1951,1.288441053566101,0.9525889640583185,0.19562051431839625,63.52
Italy,Males,1952,1.313774788971311,0.9733309720098025,0.19031535024814614,64.07
Italy,Males,1953,1.3507604219441882,1.0114569818461219,0.18227882958424022,64.7
Italy,Males,1954,1.3696715020314099,1.0364033250675022,0.17784599540316504,65.78
Italy,Males,1955,1.3846848984914284,1.0581759311141365,0.1740558202900115,66.08
