code,team,team_gender,country,country_full,country_code,discipline,disciplines_code,events,athletes,coaches,athletes_codes,num_athletes,coaches_codes,num_coaches
JUDXTEAM6---KAZ01,Kazakhstan,X,Kazakhstan,Kazakhstan,KAZ,Judo,JUD,Mixed Team,"['ABUZHAKYNOVA Abiba', 'BERLIKASH Kamila', 'KUYULOVA Esmigul', 'KYRGYZBAYEV Gusman', 'SHAMSHAYEV Daniyar', 'ZHUBANAZAR Abylaikhan', 'SHARKHAN Nurlykhan', 'SMETOV Yeldos']",,"['1935401', '1935402', '1935405', '1935410', '1935412', '1935413', '1935414', '1935408']",8.0,,
JUDXTEAM6---KOR01,Republic of Korea,X,Korea,Republic of Korea,KOR,Judo,JUD,Mixed Team,"['AN Baul', 'HAN Juyeop', 'KIM Minjong', 'HUH Mimi', 'KIM Jisu', 'KIM Hayun', 'KIM Won Jin', 'LEE Joonhwan', 'JUNG Yerin', 'YOON Hyunji', 'LEE Hyekyeong']",,"['1928064', '1928066', '1928072', '1928067', '1928071', '1928070', '1928074', '1928079', '1940097', '1928082', '1940098']",11.0,,
JUDXTEAM6---MGL01,Mongolia,X,Mongolia,Mongolia,MGL,Judo,JUD,Mixed Team,"['ENKHTAIVAN Ariunbold', 'BAVUUDORJ Baasankhuu', 'LKHAGVATOGOO Enkhriilen', 'AMARSAIKHAN Adiyasuren', 'YONDONPERENLEI Baskhuu', 'BATKHUYAG Gonchigsuren', 'BATZAYA Erdenebayar', 'LKHAGVASUREN Sosorbaram', 'OTGONBAYAR Khuslen', 'ODKHUU Tsetsentsengel']",,"['1914238', '1914467', '1918912', '1914465', '1914239', '1914277', '1914451', '1918853', '1918880', '1914295']",10.0,,
JUDXTEAM6---NED01,Netherlands,X,Netherlands,Netherlands,NED,Judo,JUD,Mixed Team,"['BEURSKENS Julie', 'de WIT Frank', 'TSJAKADOEA Tornike', 'SNIPPE Jelle', 'KORREL Michael', 'STEENHUIS Guusje', 'KAMPS Marit', 'van DIJKE Sanne', 'van LIESHOUT Joanne', 'van T END Noel']",,"['1966748', '1966756', '1966764', '1966768', '1966766', '1966753', '1966747', '1966742', '1966746', '1966757']",10.0,,
JUDXTEAM6---SRB01,Serbia,X,Serbia,Serbia,SRB,Judo,JUD,Mixed Team,"['BUNCIC Strahinja', 'KUKOLJ Aleksandar', 'MAJDOV Nemanja', 'NIKOLIC Milica', 'PERISIC Marica', 'ZABIC Milica']",,"['1948089', '1948091', '1948092', '1948082', '1948084', '1948085']",6.0,,
JUDXTEAM6---TUR01,Türkiye,X,Türkiye,Türkiye,TUR,Judo,JUD,Mixed Team,"['YILDIZ Salih', 'ZGANK Mihael', 'BEDER Tugce', 'OZDEMIR Kayra', 'OGEL Fidan', 'TATAROGLU Ibrahim', 'DEMIREL Muhammed', 'ALBAYRAK Vedat']",,"['1569960', '1570001', '1570013', '1570034', '1570024', '1570012', '1569965', '1569984']",8.0,,
JUDXTEAM6---UZB01,Uzbekistan,X,Uzbekistan,Uzbekistan,UZB,Judo,JUD,Mixed Team,"['AMINOVA Shukurjon', 'KELDIYOROVA Diyora', 'MATNIYAZOVA Gulnoza', 'KURBANBAEVA Iriskhon', 'YUSUPOV Alisher', 'TUROBOYEV Muzaffarbek', 'BOBONOV Davlat', 'BOLTABOEV Sharofiddin', 'NURILLAEV Sardor', 'YULDOSHEV Murodjon', 'RUZIEV Doston', 'KURBONOVA Khalimajon']",,"['1568193', '1566997', '1568220', '1568224', '1566931', '1565754', '1565738', '1565579', '1563512', '1563773', '1563494', '1566947']",12.0,,
ROWMCOXED8--AUS01,Australia,M,Australia,Australia,AUS,Rowing,ROW,Men's Eight,"['CANHAM Ben', 'HICKS Joshua', 'TURRIN Spencer', 'WIDDICOMBE Angus', 'HARGREAVES Jack', 'PURNELL Alex', 'DAWSON Angus', ""O'BRIEN Jack"", 'BRODIE Kendall']",,"['1945646', '1945672', '1945693', '1945643', '1945665', '1945639', '1945642', '1945671', '1945675']",9.0,,
ROWMCOXED8--GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Rowing,ROW,Men's Eight,"['CARNEGIE Sholto', 'GIBBS Rory', 'BOLDING Morgan', 'DAWSON Jacob', 'ELWES Charles', 'DIGBY Tom', 'RUDKIN James', 'FORD Tom', 'BRIGHTMORE Harry']",,"['1901045', '1901068', '1901036', '1901051', '1901062', '1901056', '1901089', '1901064', '1901041']",9.0,,
ROWMCOXED8--GER01,Germany,M,Germany,Germany,GER,Rowing,ROW,Men's Eight,"['EGGELING Benedict', 'JOHANNESEN Torben', 'ROGGENSACK Olaf', 'FOLLERT Laurits', 'JOHN Max', 'BREUER Frederik', 'SCHROEDER Wolf-Niclas', 'SCHOENHERR Mattes', 'WIESEN Jonas']",,"['1906541', '1906488', '1906503', '1906481', '1906489', '1906534', '1906509', '1906508', '1906513']",9.0,,
ROWMCOXED8--ITA01,Italy,M,Italy,Italy,ITA,Rowing,ROW,Men's Eight,"['DELLA VALLE Matteo', 'FRIGERIO Jacopo', 'GAETANI LISEO Emanuele', 'MONFRECOLA Salvatore', ""VERITA' Davide"", 'di MAURO Gennaro Alberto', 'PIETRA CAPRINA Leonardo', 'ABBAGNALE Vincenzo', 'FAELLA Alessandra']",,"['1547912', '1547892', '1547893', '1547895', '1547891', '1547905', '1547896', '1547876', '1547913']",9.0,,
ROWMCOXED8--NED01,Netherlands,M,Netherlands,Netherlands,NED,Rowing,ROW,Men's Eight,"['RIENKS Ralf', 'MOLENAAR Olav', 'de GRAAF Sander', 'KNAB Ruben', 'van DOORN Gert-Jan', 'van de KERKHOF Jacob', 'van der BIJ Jan', 'MAKKER Mick', 'FETTER Dieuwke']",,"['1965596', '1965587', '1965601', '1965592', '1965583', '1965548', '1965597', '1965581', '1965562']",9.0,,
ROWMCOXED8--ROU01,Romania,M,Romania,Romania,ROU,Rowing,ROW,Men's Eight,"['TIGANESCU Mihaita Vasile', 'DANCIU Laurentiu', 'BAITOC Bogdan', 'ADAM Constantin', 'COZMIUC Marius Vasile', 'SEMCIUC Mugurel Vasile', 'ARTENI Florin', 'LEHACI Florin Sorin', 'MUNTEANU Adrian']",,"['1552074', '1551190', '1551177', '1550806', '1551188', '1552065', '1551175', '1552037', '1552045']",9.0,,
ROWMCOXED8--USA01,United States of America,M,United States,United States of America,USA,Rowing,ROW,Men's Eight,"['HOLLINGSWORTH Henry', 'RUSHER Nick', 'TABASH Christian', 'DEAN Clark', 'CARLSON Chris', 'CHATAIN Peter', 'OLSON Evan', 'QUINTON Pieter', 'MILNE Rielly']",,"['1944696', '1944757', '1944764', '1944660', '1944642', '1944646', '1944625', '1944747', '1944731']",9.0,,
ROWMNOCOX2--AUS01,Australia,M,Australia,Australia,AUS,Rowing,ROW,Men's Pair,"['HOLT Patrick', 'KEENAN Simon']",,"['1945685', '1945692']",2.0,,
ROWMNOCOX2--CRO01,Croatia,M,Croatia,Croatia,CRO,Rowing,ROW,Men's Pair,"['SINKOVIC Martin', 'SINKOVIC Valent']",,"['1916685', '1921490']",2.0,,
ROWMNOCOX2--ESP01,Spain,M,Spain,Spain,ESP,Rowing,ROW,Men's Pair,"['CANALEJO PAZOS Jaime', 'GARCIA ORDONEZ Javier']",,"['1879796', '1879808']",2.0,,
ROWMNOCOX2--GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Rowing,ROW,Men's Pair,"['WYNNE-GRIFFITH Oliver', 'GEORGE Tom']",,"['1901101', '1901066']",2.0,,
ROWMNOCOX2--GER01,Germany,M,Germany,Germany,GER,Rowing,ROW,Men's Pair,"['CHRIST Julius', 'KRUSE Soenke']",,"['1906531', '1906491']",2.0,,
ROWMNOCOX2--IRL01,Ireland,M,Ireland,Ireland,IRL,Rowing,ROW,Men's Pair,"['CORRIGAN Ross', 'TIMONEY Nathan']",,"['1543318', '1962953']",2.0,,
ROWMNOCOX2--ITA01,Italy,M,Italy,Italy,ITA,Rowing,ROW,Men's Pair,"['COMINI Davide', 'CODATO Giovanni']",,"['1547902', '1547901']",2.0,,
ROWMNOCOX2--LTU01,Lithuania,M,Lithuania,Lithuania,LTU,Rowing,ROW,Men's Pair,"['STANKUNAS Dovydas', 'STANKUNAS Domantas']",,"['1940477', '1940429']",2.0,,
ROWMNOCOX2--NZL01,New Zealand,M,New Zealand,New Zealand,NZL,Rowing,ROW,Men's Pair,"['WILLIAMSON Daniel', 'WILSON Phillip']",,"['1927016', '1927004']",2.0,,
ROWMNOCOX2--ROU01,Romania,M,Romania,Romania,ROU,Rowing,ROW,Men's Pair,"['ARTENI Florin', 'LEHACI Florin Sorin']",,"['1551175', '1552037']",2.0,,
ROWMNOCOX2--RSA01,South Africa,M,South Africa,South Africa,RSA,Rowing,ROW,Men's Pair,"['SMITH John', 'BAXTER Christopher']",,"['1893546', '4118049']",2.0,,
ROWMNOCOX2--SUI01,Switzerland,M,Switzerland,Switzerland,SUI,Rowing,ROW,Men's Pair,"['ROEOESLI Roman', 'GULICH Andrin']",,"['1977804', '1976556']",2.0,,
ROWMNOCOX2--USA01,United States of America,M,United States,United States of America,USA,Rowing,ROW,Men's Pair,"['BENDER Billy', 'BUB Oliver']",,"['1944630', '1944637']",2.0,,
ROWMNOCOX4--AUS01,Australia,M,Australia,Australia,AUS,Rowing,ROW,Men's Four,"['MASTERS Timothy', 'ROBERTSON Jack', 'HAMILTON Fergus', 'HILL Alex']",,"['1945695', '1945668', '1945655', '1945638']",4.0,,
ROWMNOCOX4--FRA01,France,M,France,France,FRA,Rowing,ROW,Men's Four,"['TURLAN Thibaud', 'TURLAN Guillaume', 'BRUNET Benoit', 'RAYET Teo']",,"['1558341', '1558340', '1558313', '1558334']",4.0,,
