start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-04T11:50:00+02:00,2024-08-04T13:00:00+02:00,2024-08-04,SCHEDULED,Fencing,FEN,Men's Foil Team,0,Men's Foil Team Table of 8,M,HTEAM,Grand Palais,GRP,Grand Palais - Blue Piste,FEB,/en/paris-2024/results/fencing/men-s-foil-team/qfnl000100--
2024-08-04T12:00:00+02:00,2024-08-04T22:00:00+02:00,2024-08-04,SCHEDULED,Tennis,TEN,Tennis,0,Tennis Session Schedules,-,NONE,Roland-Garros Stadium,RGA,Roland-Garros Stadium,RGA,
2024-08-04T12:00:00+02:00,2024-08-04T22:00:00+02:00,2024-08-04,SCHEDULED,Tennis,TEN,Women's Doubles,3,Women's Doubles Finals,W,HCOUP,Roland-Garros Stadium,RGA,Roland-Garros - Court Philippe-Chatrier,TPC,/en/paris-2024/results/tennis/women-s-doubles/fnl-000200--
2024-08-04T12:00:00+02:00,2024-08-04T22:00:00+02:00,2024-08-04,SCHEDULED,Tennis,TEN,Men's Singles,1,Men's Singles Finals,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Philippe-Chatrier,TPC,/en/paris-2024/results/tennis/men-s-singles/fnl-000100--
2024-08-04T12:00:00+02:00,2024-08-04T22:00:00+02:00,2024-08-04,SCHEDULED,Tennis,TEN,Women's Doubles,1,Women's Doubles Finals,W,HCOUP,Roland-Garros Stadium,RGA,Roland-Garros - Court Philippe-Chatrier,TPC,/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--
2024-08-04T12:04:00+02:00,2024-08-04T12:15:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Women's 54kg,3,Women's 54kg - Semifinals,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-54kg/sfnl000100--
2024-08-04T12:05:00+02:00,2024-08-04T12:56:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Men's Dinghy,0,Men's Dinghy Opening Series,M,ATH,Marseille Marina,MAM,Marseille Marina - Corniche,SA2,/en/paris-2024/results/sailing/men-s-dinghy/prel000700--
2024-08-04T12:05:00+02:00,2024-08-04T12:40:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Mixed Multihull,0,Mixed Multihull Opening Series,X,TEAM,Marseille Marina,MAM,Marseille Marina - Frioul,SA3,/en/paris-2024/results/sailing/mixed-multihull/prel000400--
2024-08-04T12:13:00+02:00,2024-08-04T12:30:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Men's Kite,0,Men's Kite Opening Series,M,ATH,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/men-s-kite/prel000100--
2024-08-04T12:20:00+02:00,2024-08-04T12:31:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Men's 51kg,3,Men's 51kg - Semifinals,M,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/men-s-51kg/sfnl000100--
